Layer,Step,Model,Pair,t-similarity
5,3,Whisper_encoder,dash-tash,0.22662264
5,4,Whisper_encoder,dash-tash,0.41806185
5,5,Whisper_encoder,dash-tash,0.47491676
5,6,Whisper_encoder,dash-tash,0.72317135
5,7,Whisper_encoder,dash-tash,0.7475966
5,8,Whisper_encoder,dash-tash,0.9181122
5,9,Whisper_encoder,dash-tash,0.92758286
5,10,Whisper_encoder,dash-tash,0.9812382
5,0,Whisper_encoder,task-dask,0.03585416
5,1,Whisper_encoder,task-dask,0.077876985
5,2,Whisper_encoder,task-dask,0.19326764
5,3,Whisper_encoder,task-dask,0.24382693
5,4,Whisper_encoder,task-dask,0.45794958
5,5,Whisper_encoder,task-dask,0.5021765
5,6,Whisper_encoder,task-dask,0.74243677
5,7,Whisper_encoder,task-dask,0.76965106
5,8,Whisper_encoder,task-dask,0.9245572
5,9,Whisper_encoder,task-dask,0.92876905
5,10,Whisper_encoder,task-dask,0.98178774
6,0,Whisper_encoder,dash-tash,0.034320056
6,1,Whisper_encoder,dash-tash,0.10896081
6,2,Whisper_encoder,dash-tash,0.18735081
6,3,Whisper_encoder,dash-tash,0.20989549
6,4,Whisper_encoder,dash-tash,0.43250853
6,5,Whisper_encoder,dash-tash,0.4935828
6,6,Whisper_encoder,dash-tash,0.7512877
6,7,Whisper_encoder,dash-tash,0.77944505
6,8,Whisper_encoder,dash-tash,0.92982286
6,9,Whisper_encoder,dash-tash,0.93747526
6,10,Whisper_encoder,dash-tash,0.9820688
6,0,Whisper_encoder,task-dask,0.03366089
6,1,Whisper_encoder,task-dask,0.08613002
6,2,Whisper_encoder,task-dask,0.203484
6,3,Whisper_encoder,task-dask,0.23660046
6,4,Whisper_encoder,task-dask,0.4663748
6,5,Whisper_encoder,task-dask,0.50443673
6,6,Whisper_encoder,task-dask,0.75878084
6,7,Whisper_encoder,task-dask,0.79343987
6,8,Whisper_encoder,task-dask,0.9317646
6,9,Whisper_encoder,task-dask,0.9374732
6,10,Whisper_encoder,task-dask,0.98285866
7,0,Whisper_encoder,dash-tash,0.035828948
7,1,Whisper_encoder,dash-tash,0.14044541
7,2,Whisper_encoder,dash-tash,0.19656307
7,3,Whisper_encoder,dash-tash,0.20483088
7,4,Whisper_encoder,dash-tash,0.4156493
7,5,Whisper_encoder,dash-tash,0.5034938
7,6,Whisper_encoder,dash-tash,0.77057976
7,7,Whisper_encoder,dash-tash,0.80021054
7,8,Whisper_encoder,dash-tash,0.93721664
7,9,Whisper_encoder,dash-tash,0.94285226
7,10,Whisper_encoder,dash-tash,0.9823423
7,0,Whisper_encoder,task-dask,0.037121296
7,1,Whisper_encoder,task-dask,0.111928046
7,2,Whisper_encoder,task-dask,0.21152657
7,3,Whisper_encoder,task-dask,0.23123586
7,4,Whisper_encoder,task-dask,0.44828278
7,5,Whisper_encoder,task-dask,0.4953931
7,6,Whisper_encoder,task-dask,0.7718976
7,7,Whisper_encoder,task-dask,0.8063699
7,8,Whisper_encoder,task-dask,0.9358108
7,9,Whisper_encoder,task-dask,0.93850935
7,10,Whisper_encoder,task-dask,0.9833312
8,0,Whisper_encoder,dash-tash,0.041972518
8,1,Whisper_encoder,dash-tash,0.1395548
8,2,Whisper_encoder,dash-tash,0.1645965
8,3,Whisper_encoder,dash-tash,0.1712693
8,4,Whisper_encoder,dash-tash,0.4461398
8,5,Whisper_encoder,dash-tash,0.5544944
8,6,Whisper_encoder,dash-tash,0.818273
8,7,Whisper_encoder,dash-tash,0.8483324
8,8,Whisper_encoder,dash-tash,0.9550541
8,9,Whisper_encoder,dash-tash,0.95643616
8,10,Whisper_encoder,dash-tash,0.9847915
8,0,Whisper_encoder,task-dask,0.039209545
8,1,Whisper_encoder,task-dask,0.113055825
8,2,Whisper_encoder,task-dask,0.17082244
8,3,Whisper_encoder,task-dask,0.18014783
8,4,Whisper_encoder,task-dask,0.45672232
8,5,Whisper_encoder,task-dask,0.52477336
8,6,Whisper_encoder,task-dask,0.8043163
8,7,Whisper_encoder,task-dask,0.83452946
8,8,Whisper_encoder,task-dask,0.9490494
8,9,Whisper_encoder,task-dask,0.9502114
8,10,Whisper_encoder,task-dask,0.98565656
9,0,Whisper_encoder,dash-tash,0.045137763
9,1,Whisper_encoder,dash-tash,0.1404444
9,2,Whisper_encoder,dash-tash,0.15247816
9,3,Whisper_encoder,dash-tash,0.1476512
9,4,Whisper_encoder,dash-tash,0.45826942
9,5,Whisper_encoder,dash-tash,0.58134794
9,6,Whisper_encoder,dash-tash,0.8313798
9,7,Whisper_encoder,dash-tash,0.86016583
9,8,Whisper_encoder,dash-tash,0.95428586
9,9,Whisper_encoder,dash-tash,0.957961
9,10,Whisper_encoder,dash-tash,0.98007894
9,0,Whisper_encoder,task-dask,0.04459542
9,1,Whisper_encoder,task-dask,0.12698847
9,2,Whisper_encoder,task-dask,0.16966498
9,3,Whisper_encoder,task-dask,0.16817719
9,4,Whisper_encoder,task-dask,0.48457384
9,5,Whisper_encoder,task-dask,0.5707437
9,6,Whisper_encoder,task-dask,0.8334643
9,7,Whisper_encoder,task-dask,0.8498957
9,8,Whisper_encoder,task-dask,0.951328
9,9,Whisper_encoder,task-dask,0.9495248
9,10,Whisper_encoder,task-dask,0.98178226
10,0,Whisper_encoder,dash-tash,0.051385105
10,1,Whisper_encoder,dash-tash,0.12953365
10,2,Whisper_encoder,dash-tash,0.13664204
10,3,Whisper_encoder,dash-tash,0.13708949
10,4,Whisper_encoder,dash-tash,0.49774414
10,5,Whisper_encoder,dash-tash,0.569962
10,6,Whisper_encoder,dash-tash,0.8282615
10,7,Whisper_encoder,dash-tash,0.85016644
10,8,Whisper_encoder,dash-tash,0.94514644
10,9,Whisper_encoder,dash-tash,0.94582796
10,10,Whisper_encoder,dash-tash,0.96204466
10,0,Whisper_encoder,task-dask,0.052523434
10,1,Whisper_encoder,task-dask,0.12063837
10,2,Whisper_encoder,task-dask,0.1549083
10,3,Whisper_encoder,task-dask,0.15821153
10,4,Whisper_encoder,task-dask,0.49889857
10,5,Whisper_encoder,task-dask,0.5442896
10,6,Whisper_encoder,task-dask,0.8075334
10,7,Whisper_encoder,task-dask,0.8005493
10,8,Whisper_encoder,task-dask,0.9312439
10,9,Whisper_encoder,task-dask,0.91967946
10,10,Whisper_encoder,task-dask,0.9628011
11,0,Whisper_encoder,dash-tash,0.04637623
11,1,Whisper_encoder,dash-tash,0.12317896
11,2,Whisper_encoder,dash-tash,0.12532657
11,3,Whisper_encoder,dash-tash,0.124940336
11,4,Whisper_encoder,dash-tash,0.5102112
11,5,Whisper_encoder,dash-tash,0.57683057
11,6,Whisper_encoder,dash-tash,0.8296611
11,7,Whisper_encoder,dash-tash,0.84884226
11,8,Whisper_encoder,dash-tash,0.9406313
11,9,Whisper_encoder,dash-tash,0.9402447
11,10,Whisper_encoder,dash-tash,0.96121305
11,0,Whisper_encoder,task-dask,0.047303736
11,1,Whisper_encoder,task-dask,0.10656881
11,2,Whisper_encoder,task-dask,0.13545221
