Layer,Step,Model,Pair,t-similarity
4,2,wav2vec2_pretrained,task-dask,0.32860482
4,3,wav2vec2_pretrained,task-dask,0.3820179
4,4,wav2vec2_pretrained,task-dask,0.54786646
4,5,wav2vec2_pretrained,task-dask,0.56650144
4,6,wav2vec2_pretrained,task-dask,0.7225565
4,7,wav2vec2_pretrained,task-dask,0.7665722
4,8,wav2vec2_pretrained,task-dask,0.87907106
4,9,wav2vec2_pretrained,task-dask,0.90729773
4,10,wav2vec2_pretrained,task-dask,0.942602
5,0,wav2vec2_pretrained,dash-tash,0.049827218
5,1,wav2vec2_pretrained,dash-tash,0.094913304
5,2,wav2vec2_pretrained,dash-tash,0.24549949
5,3,wav2vec2_pretrained,dash-tash,0.32048678
5,4,wav2vec2_pretrained,dash-tash,0.43446684
5,5,wav2vec2_pretrained,dash-tash,0.52567935
5,6,wav2vec2_pretrained,dash-tash,0.702359
5,7,wav2vec2_pretrained,dash-tash,0.7421946
5,8,wav2vec2_pretrained,dash-tash,0.85501266
5,9,wav2vec2_pretrained,dash-tash,0.89374995
5,10,wav2vec2_pretrained,dash-tash,0.94797814
5,0,wav2vec2_pretrained,task-dask,0.047797978
5,1,wav2vec2_pretrained,task-dask,0.089435756
5,2,wav2vec2_pretrained,task-dask,0.26853675
5,3,wav2vec2_pretrained,task-dask,0.33445418
5,4,wav2vec2_pretrained,task-dask,0.5188289
5,5,wav2vec2_pretrained,task-dask,0.57333356
5,6,wav2vec2_pretrained,task-dask,0.75065136
5,7,wav2vec2_pretrained,task-dask,0.78922087
5,8,wav2vec2_pretrained,task-dask,0.89227426
5,9,wav2vec2_pretrained,task-dask,0.9013183
5,10,wav2vec2_pretrained,task-dask,0.94819546
6,0,wav2vec2_pretrained,dash-tash,0.050238013
6,1,wav2vec2_pretrained,dash-tash,0.10213095
6,2,wav2vec2_pretrained,dash-tash,0.23252946
6,3,wav2vec2_pretrained,dash-tash,0.29021192
6,4,wav2vec2_pretrained,dash-tash,0.40237164
6,5,wav2vec2_pretrained,dash-tash,0.5460489
6,6,wav2vec2_pretrained,dash-tash,0.7208221
6,7,wav2vec2_pretrained,dash-tash,0.7396955
6,8,wav2vec2_pretrained,dash-tash,0.8561983
6,9,wav2vec2_pretrained,dash-tash,0.8855626
6,10,wav2vec2_pretrained,dash-tash,0.942439
6,0,wav2vec2_pretrained,task-dask,0.049001336
6,1,wav2vec2_pretrained,task-dask,0.09891796
6,2,wav2vec2_pretrained,task-dask,0.23796642
6,3,wav2vec2_pretrained,task-dask,0.29291207
6,4,wav2vec2_pretrained,task-dask,0.4963737
