Layer,Step,Model,Pair,t-similarity
4,2,wav2vec2_finetuned,task-dask,0.2731514
4,3,wav2vec2_finetuned,task-dask,0.3203978
4,4,wav2vec2_finetuned,task-dask,0.5299335
4,5,wav2vec2_finetuned,task-dask,0.57710785
4,6,wav2vec2_finetuned,task-dask,0.73987454
4,7,wav2vec2_finetuned,task-dask,0.77037543
4,8,wav2vec2_finetuned,task-dask,0.8814106
4,9,wav2vec2_finetuned,task-dask,0.9029046
4,10,wav2vec2_finetuned,task-dask,0.9606119
5,0,wav2vec2_finetuned,dash-tash,0.053627968
5,1,wav2vec2_finetuned,dash-tash,0.13041699
5,2,wav2vec2_finetuned,dash-tash,0.21195447
5,3,wav2vec2_finetuned,dash-tash,0.2683112
5,4,wav2vec2_finetuned,dash-tash,0.47753018
5,5,wav2vec2_finetuned,dash-tash,0.60470235
5,6,wav2vec2_finetuned,dash-tash,0.7926536
5,7,wav2vec2_finetuned,dash-tash,0.8135314
5,8,wav2vec2_finetuned,dash-tash,0.9165193
5,9,wav2vec2_finetuned,dash-tash,0.92019665
5,10,wav2vec2_finetuned,dash-tash,0.95988667
5,0,wav2vec2_finetuned,task-dask,0.048227847
5,1,wav2vec2_finetuned,task-dask,0.09173167
5,2,wav2vec2_finetuned,task-dask,0.1850729
5,3,wav2vec2_finetuned,task-dask,0.23214883
5,4,wav2vec2_finetuned,task-dask,0.47779638
5,5,wav2vec2_finetuned,task-dask,0.602221
5,6,wav2vec2_finetuned,task-dask,0.7844652
5,7,wav2vec2_finetuned,task-dask,0.7905851
5,8,wav2vec2_finetuned,task-dask,0.88550454
5,9,wav2vec2_finetuned,task-dask,0.9129382
5,10,wav2vec2_finetuned,task-dask,0.9580753
6,0,wav2vec2_finetuned,dash-tash,0.059311867
6,1,wav2vec2_finetuned,dash-tash,0.12961602
6,2,wav2vec2_finetuned,dash-tash,0.1803469
6,3,wav2vec2_finetuned,dash-tash,0.2130143
6,4,wav2vec2_finetuned,dash-tash,0.43598598
6,5,wav2vec2_finetuned,dash-tash,0.5689163
6,6,wav2vec2_finetuned,dash-tash,0.7710084
6,7,wav2vec2_finetuned,dash-tash,0.7819725
6,8,wav2vec2_finetuned,dash-tash,0.9007349
6,9,wav2vec2_finetuned,dash-tash,0.9002213
6,10,wav2vec2_finetuned,dash-tash,0.95974517
6,0,wav2vec2_finetuned,task-dask,0.061853886
6,1,wav2vec2_finetuned,task-dask,0.09646243
6,2,wav2vec2_finetuned,task-dask,0.16213417
6,3,wav2vec2_finetuned,task-dask,0.19870907
6,4,wav2vec2_finetuned,task-dask,0.4752651
6,5,wav2vec2_finetuned,task-dask,0.61996657
6,6,wav2vec2_finetuned,task-dask,0.7915565
6,7,wav2vec2_finetuned,task-dask,0.7862299
6,8,wav2vec2_finetuned,task-dask,0.8860843
6,9,wav2vec2_finetuned,task-dask,0.91158473
6,10,wav2vec2_finetuned,task-dask,0.9619425
7,0,wav2vec2_finetuned,dash-tash,0.062718034
7,1,wav2vec2_finetuned,dash-tash,0.11412513
7,2,wav2vec2_finetuned,dash-tash,0.18742079
7,3,wav2vec2_finetuned,dash-tash,0.22045225
7,4,wav2vec2_finetuned,dash-tash,0.41527736
7,5,wav2vec2_finetuned,dash-tash,0.5956155
7,6,wav2vec2_finetuned,dash-tash,0.79344267
7,7,wav2vec2_finetuned,dash-tash,0.80573905
7,8,wav2vec2_finetuned,dash-tash,0.90893805
7,9,wav2vec2_finetuned,dash-tash,0.9185144
7,10,wav2vec2_finetuned,dash-tash,0.9603013
7,0,wav2vec2_finetuned,task-dask,0.06561297
7,1,wav2vec2_finetuned,task-dask,0.091031075
7,2,wav2vec2_finetuned,task-dask,0.17002177
7,3,wav2vec2_finetuned,task-dask,0.18019593
7,4,wav2vec2_finetuned,task-dask,0.4591701
7,5,wav2vec2_finetuned,task-dask,0.620523
7,6,wav2vec2_finetuned,task-dask,0.8050965
7,7,wav2vec2_finetuned,task-dask,0.79746217
7,8,wav2vec2_finetuned,task-dask,0.8830931
7,9,wav2vec2_finetuned,task-dask,0.91075313
7,10,wav2vec2_finetuned,task-dask,0.9568515
8,0,wav2vec2_finetuned,dash-tash,0.08355111
8,1,wav2vec2_finetuned,dash-tash,0.16278172
8,2,wav2vec2_finetuned,dash-tash,0.25123793
8,3,wav2vec2_finetuned,dash-tash,0.26034057
8,4,wav2vec2_finetuned,dash-tash,0.41765988
8,5,wav2vec2_finetuned,dash-tash,0.5927721
8,6,wav2vec2_finetuned,dash-tash,0.7766012
8,7,wav2vec2_finetuned,dash-tash,0.78373134
8,8,wav2vec2_finetuned,dash-tash,0.8613124
8,9,wav2vec2_finetuned,dash-tash,0.88018924
8,10,wav2vec2_finetuned,dash-tash,0.8901852
8,0,wav2vec2_finetuned,task-dask,0.09462118
8,1,wav2vec2_finetuned,task-dask,0.11183852
